,Number,Time,One,Two,Three,Four,Five,Six,Seven,Eight,Nine,Ten,Eleven,Twelve
0,1,16秒,0,0,0,0,0,0,0,0,5,0,0,无
1,2,154秒,1,1,箫、琵琶、鼓、扬琴,1,0,演唱会、话剧、音乐剧、电影、展览,1,如果我有无数可以挥霍的金钱，我一定会把家里装修成几个大工作室,2,1,0,听歌、看展、看各种电影、看各种视频、看书、做手工
2,3,57秒,1,1,吉他,0,0,演奏会,1,0,2,0,1,练吉他，听歌
3,4,56秒,1,1,吉他,1,0,舞蹈,1,自由自在,3,0,0,艺术团，听音乐会
4,5,78秒,1,1,小提琴,0,表情包,0,1,0,2,0,0,看剧睡觉唱歌跳舞
5,6,129秒,1,0,吉他,0,0,0,0,0,2,0,1,无
6,7,58秒,1,0,吉他,0,0,0,1,0,2,0,1,写字
7,8,70秒,1,1,大提琴,0,无数个小叶子,行为艺术,1,旅行作家,4,1,0,画一些无意识的漫画
8,9,55秒,0,1,钢琴,0,0,摄影,1,0,2,0,1,看书拍照
9,10,168秒,1,1,尤克里里,0,画桌面的花,摄影,1,0,3,0,0,练字，画水彩，去花店精心挑选几支花插瓶，拍照，做小手工DIY
10,11,161秒,1,1,古琴,0,线条,文艺、音乐、绘画,1,诗人、音乐家,3,0,1,写诗、跳舞、读书、听钢琴曲、学习乐器演奏、参观艺术馆
11,12,44秒,0,0,0,0,0,0,0,0,2,0,1,无
12,13,118秒,1,0,古琴,0,可可爱爱的小女孩或小男孩,画画，乐器，舞蹈,1,美好而享受,1,0,0,画画
13,14,104秒,1,0,0,1,失恋的那一刻,绘画,0,画家,2,0,1,玩游戏，设计游戏
14,15,81秒,1,1,钢琴,0,海,音乐,0,音乐家,2,0,0,听音乐
15,16,96秒,1,1,架子鼓,1,画樱花,文学,1,以小说家的身份,1,0,0,看书，听音乐，逛展览书店
16,17,115秒,1,1,古筝,0,风景或可爱的小动物,绘画音乐舞蹈,1,有一间舞蹈房，落地窗，大镜子，窗边放我的琴们,2,0,0,玩乐器，听音乐会，选艺术公选，跳舞
17,18,61秒,1,0,0,1,0,0,0,0,2,0,0,听音乐
18,19,127秒,1,1,手碟,1,0,照片，视频，服装,1,0,2,0,0,上课摸鱼
19,20,204秒,1,0,吉他,1,0,0,1,0,2,0,1,写毛笔字，临摹一下碑文
20,21,75秒,1,1,琵琶,0,人物像,音乐,0,0,1,0,1,无
21,22,37秒,0,0,0,1,0,觉得舒服,1,0,3,0,1,听歌
22,23,296秒,1,1,0,0,人,绝大多数的形式,1,多少都是想过的,2,0,1,欣赏音乐
23,24,319秒,1,1,风琴,1,二次元的帅哥们,唱歌,1,0,1,0,0,练舞，唱歌
24,25,41秒,1,0,0,1,0,0,1,0,2,0,1,无
25,26,48秒,1,1,0,1,0,0,1,0,1,0,1,无
26,27,493秒,1,1,架子鼓,0,各种颜色在纸上乱泼,如果摇滚/city pop和hiphop之类的live算的话；或者一些行为艺术；或者一些新奇的展……总之就是一些可以让我很沉静/很发散地思考的东西，要么就是可以让我很冲动很兴奋可以调动肢体的东西,1,总之 自由自在 浪漫就好,2,0,0,摄影 看live在街上乱转 随便上一辆公车或是地铁然后在随便一站下车在小巷子里瞎拍  在寝室没人的时候外放喜欢的歌然后跟着律动
27,28,64秒,1,0,钢琴,1,0,行为艺术,1,0,4,0,1,看展
28,29,258秒,1,1,贝斯,0,大胸美少女东北末世漂流记,最近尤其雕塑,0,写歌,4,0,0,打音游
29,30,435秒,1,1,竖琴,0,近期烦乱状态、对自己影响最大的一件事,拼贴,1,用多种自己喜欢的方式表达自己的想法 有意义也好杂乱也好  能更深入更有温度的探索感受这个世界 而不是与她越来越远,1,0,0,摄影 修图 拼贴 涂画 练字 欣赏拼贴 欣赏穿搭 欣赏画画 欣赏c4d作品 看展
30,31,48秒,1,1,0,1,0,0,1,0,1,0,0,无
31,32,140秒,1,1,爵士鼓，琵琶,0,蛙和鱼,电影,1,0,4,0,0,音乐会，书法
32,33,78秒,1,1,吉他,0,0,音乐,1,0,1,0,0,听歌，唱歌，音乐剧
33,34,83秒,1,1,0,0,0,乐队现场,1,0,1,0,0,听歌 看live 看展子
34,35,92秒,1,1,管子,0,0,任何,1,0,2,0,0,无
35,36,95秒,1,1,钢琴,1,风景,文字、舞蹈,1,文字,2,0,0,电影、阅读、看很喜欢的视频up主
36,37,146秒,0,1,我全都要,0,老八,哲学,0,士官长,1,0,1,爆炸
37,38,185秒,1,1,小提琴,0,人物肖像,篆刻,1,画家+音乐家,3,0,1,听古典音乐、看电影、写诗
38,39,126秒,0,1,萨克斯,1,无意义的线条和点,0,0,敲代码某种意义上也是一种艺术,3,0,1,弹尤克里里
39,40,177秒,1,1,钢琴,0,0,音乐,1,0,4,0,0,随意涂鸦、唱歌
40,41,65秒,1,0,0,0,漫画,游戏漫画,1,0,2,0,1,打游戏
41,42,72秒,0,1,0,1,什么都,绘画 摄影 音乐,1,0,3,0,1,摄影
42,43,87秒,1,1,琵琶,0,0,音乐会，舞会,1,0,1,0,0,听音乐
43,44,90秒,1,0,管风琴,0,人,行为艺术表演艺术,1,0,2,0,1,游戏艺术
44,45,64秒,1,1,钢琴,1,0,动手,1,0,1,0,0,练字
45,46,58秒,1,0,吉他,0,喜欢的人,摄影,1,0,1,0,0,看电影
46,47,90秒,1,1,学会一首自己喜欢的曲子,0,山水,踏青写生,0,住在山里,1,0,1,写字，爬山，出去玩
47,48,115秒,1,1,0,1,一片海,0,1,0,2,0,0,听live，现场听民谣，听相声
48,49,81秒,1,0,0,1,0,0,1,0,2,0,1,去看展览
49,50,55秒,1,1,钢琴啊,1,宫村,跳舞,1,0,4,0,0,跳舞，狂跳舞
50,51,94秒,1,1,钢琴，架子鼓,0,0,音乐,1,0,3,0,0,听音乐
51,52,77秒,1,1,二胡,1,人物,音乐,1,画家,2,0,0,绘画 唱歌
52,53,54秒,1,0,0,1,0,0,0,0,2,0,1,无
53,54,1348秒,1,1,二胡、笙,1,帝国落日,0,0,0,3,0,1,社团
54,55,63秒,1,0,吉他,1,0,0,1,0,1,0,0,没有
55,56,59秒,1,1,0,1,0,0,1,0,2,0,1,无
56,57,77秒,0,0,0,1,0,0,0,0,1,0,1,听歌
57,58,133秒,0,1,架子鼓,0,0,互动展这类的吧,0,0,3,1,0,没有
58,59,55秒,0,1,手风琴,1,0,唱歌,0,0,4,0,1,唱歌，听歌
59,60,48秒,1,1,小提琴,0,0,0,0,0,1,0,1,听音乐
60,61,116秒,1,1,钢琴,0,小蛋糕的水彩画,0,1,0,3,0,0,画画 写手帐 看展 看电影
61,62,107秒,1,1,0,1,花,动画,0,0,5,0,0,无
62,63,49秒,0,0,0,1,0,0,0,0,2,0,1,无
63,64,108秒,1,1,0,1,0,0,1,0,2,0,0,手工DIY，舞蹈
64,65,69秒,1,1,吉他,0,,唱歌,1,音乐家,2,0,1,唱歌听音乐
65,66,126秒,1,1,0,1,什么都可能画,天马行空的,1,0,2,0,0,刷视频，看小说
66,67,80秒,1,0,吉他,0,小人,唱歌,1,歌唱家,2,0,0,听歌，看综艺
67,68,212秒,1,1,吉他，尤克里里,0,0,看展，或者音乐，最近话剧也有点兴趣,1,我初中的梦想是出道当唱跳歌手的,2,0,0,出去玩，去武汉大街小巷拍照，或者看书，偶尔跳舞，唱歌
68,69,59秒,1,1,琵琶,0,0,跳舞,1,0,1,0,0,唱歌，跳舞
69,70,102秒,1,1,唱歌,0,0,唱歌唱歌唱歌/行为艺术哈哈哈,1,0,2,0,0,看展
70,71,58秒,1,1,吉他,0,0,音乐,1,0,2,0,0,听歌
71,72,64秒,1,1,钢琴之类,0,0,符合审美的,1,0,2,0,1,唱歌
72,73,210秒,1,1,架子鼓,0,猫猫狗勾兔兔鸭鸭,画画、唱歌或乐器体验类活动,1,高更,2,0,0,画画、唱歌
73,74,82秒,1,1,吉他,1,简笔小人画,炫酷,1,0,3,0,0,听歌唱歌
74,75,96秒,1,1,钢琴，吉他，架子鼓,0,小姐姐,古典油画,1,记不清,1,1,0,打乒乓球，板绘
75,76,95秒,1,0,0,0,0,人文和情感,1,0,1,0,1,无
76,77,30秒,1,1,吉他,1,0,0,1,0,1,0,1,唱歌
77,78,184秒,1,1,钢琴,1,0,音乐会,0,0,2,0,1,听古典音乐
78,79,86秒,1,1,洞箫,1,蛇吞象,摄影，音乐，建筑,1,0,2,0,1,练箫，看电影
79,80,114秒,1,1,钢琴,0,油画,歌剧，美术，美声，古典音乐，画展，舞蹈,1,音乐或美术,2,0,0,画画，唱歌
80,81,102秒,1,1,口琴,0,我的女朋友,几乎一切艺术,1,画家，或者midi编曲,1,0,1,看画展
81,82,69秒,1,1,电吉他,0,有,歌剧,1,但是疲惫,2,0,1,乐队排练
82,83,85秒,1,0,0,1,自然,0,1,0,1,0,1,听歌，看演唱会
83,84,127秒,1,1,箜篌,0,有颜料就画水彩，没有就素描,需要动手的,1,0,4,0,0,弹古筝、画画、做手工
84,85,55秒,1,1,尤克里里,1,0,记录类,1,0,1,0,0,拍照、看戏剧、去音乐会、看书
85,86,107秒,1,1,小提琴,0,0,画画 音乐会,1,音乐家,1,0,0,参加音乐节
86,87,138秒,1,1,钢琴,1,雨一直下,舞蹈，音乐会,1,0,1,0,0,"体育舞蹈课
街舞课
听音乐"
87,88,184秒,1,1,古琴,0,0,舞蹈,1,自由,1,1,1,跳舞
88,89,96秒,1,1,0,0,火柴人,0,1,0,1,0,1,"画画
给画配文字"
89,90,71秒,1,1,唢呐,0,小女孩,写作,1,0,1,0,0,写作，绘画
90,91,209秒,1,1,钢琴,0,想用水彩随便涂一大片各种绿色,唱歌,1,唱歌弹琴绘画刺绣做点手工这样,1,0,0,参加合唱团，舞会，周末去KTV
91,92,149秒,1,1,都可以,0,乱画，一直圈,音乐,1,希望优雅的生活,1,0,1,听歌、看剧、练琴、吹笛子
92,93,236秒,0,0,竹笛,0,想法很多，但手不允许,0,0,0,1,0,1,听音乐，看电影，看画
93,94,35秒,0,0,0,1,0,0,0,0,2,0,1,无
94,95,63秒,1,1,0,1,0,0,1,0,2,1,1,展 涉猎
95,96,81秒,1,1,0,0,人像,舞蹈,1,舞蹈工作室的老板,2,0,0,"跳爵士舞
追星
看舞台"
96,97,281秒,1,1,大提琴,0,二次元人物(自己虚出来的),我非常喜欢听古典音乐，包括歌剧等。,1,自己是善于演奏某种乐器的演奏家,1,0,0,听西方歌剧，看演奏乐团的表演
97,98,57秒,1,1,吉他,1,人体解剖,话剧,1,0,2,0,1,"话剧演出
唱歌"
98,99,256秒,1,1,尤克里里,0,晴天，美女，帅哥,线下展览之类的,1,每天悠悠闲闲的，想画画就画，不想画就做手艺人的那种,1,1,0,画画涂鸦
99,100,87秒,1,0,吉他,0,春天,街头演出,1,作家,1,0,0,日常听曲，了解相关知识
100,101,143秒,1,1,双簧管,1,0,歌舞剧 话剧 古典演奏,1,诗人,1,0,1,看剧看展 吹双簧管
101,102,85秒,1,0,琵琶，口琴,1,0,新奇的艺术展,1,0,1,0,0,自己一个人出去采风
102,103,333秒,1,1,钢琴,1,屎,0,0,0,1,0,0,会跳跳舞
103,104,125秒,1,0,钢琴,1,蓝天白云,都会,1,很喜欢,1,0,0,听音乐，画画，刷微博艺术博主的微博
104,105,67秒,1,0,吉他,1,天菜,写生,1,自由职业的插画家,3,0,1,偶尔画点有意思的小东西
105,106,171秒,1,0,钢琴,1,0,音乐会（尤其交响），音乐剧、话剧，艺术展（798常有的那种,1,0,2,0,1,偶尔出去看看展和剧
106,107,101秒,1,1,0,0,0,摄影,1,0,1,0,1,照照片
107,108,125秒,1,1,尤克里里,0,大眼二次元福瑞,音乐剧 电影 艺术照 雕塑 等等,0,漫画或者动画师,3,1,0,看电影 看动画
108,109,81秒,1,1,吉他,1,这世界,0,1,,1,0,1,画
109,110,126秒,1,1,吉他,0,飒飒女少侠,音乐会,1,绘吾所想，无拘无束,1,0,0,（看别人画画）
110,111,92秒,1,1,吉他,0,人物,音乐/绘画,0,插画师,1,0,1,插画/音乐
111,112,117秒,1,1,古筝,0,油画人物,行为艺术,1,行为艺术家,2,0,0,参观湖北美术馆
112,113,39秒,1,0,古筝,1,0,0,1,0,2,0,0,看电影
113,114,66秒,1,1,架子鼓,0,大树,街头路演,0,像五月天那样,2,0,0,听歌，看演唱会
114,115,183秒,1,1,钢琴,1,抽象夸张的花，太阳，蓝天白云,戏剧表演，电影，画展，音乐会,1,不用考虑生活来源，专心享受学习知识，创造艺术带来的快乐,1,0,0,小涂鸦，文学创作，阅读，看展，看电影
115,116,2243秒,1,1,吉他,0,杂志速写,音乐，绘画,1,想一直画画,2,0,0,画画和学弹吉他
116,117,76秒,1,1,钢琴,1,人头,0,1,0,3,1,0,看展……
117,118,90秒,0,1,竖琴,0,0,弹奏乐曲,0,0,1,0,0,听音乐
118,119,60秒,1,1,小提琴,0,0,音乐会,1,0,1,0,1,钢琴or吉他
119,120,57秒,1,0,钢琴,1,0,音乐会，画展，摄影展等等,1,0,2,0,1,摄影
120,121,150秒,1,1,钢琴,0,卡通手帐,舞蹈,1,0,2,0,0,听歌，跳舞，摄影
121,122,289秒,1,1,大提琴,1,0,各种现场表演，包括且不限于livehouse?音乐节、话剧、音乐剧、歌剧,1,每天看展、创作,2,0,0,看书看诗，音乐节，看话剧
122,123,82秒,1,0,吉他,0,火柴人,纯音乐,1,0,2,0,1,听歌
123,124,104秒,1,1,0,1,随便画画,音乐会,1,音乐家,3,0,1,看电影
124,125,183秒,1,1,钢琴,1,0,音乐,1,0,2,0,1,听古典，看名画
125,126,239秒,1,0,吉他,1,0,行为艺术,0,0,1,0,1,听一些小众歌曲
126,127,128秒,1,0,0,1,0,0,0,0,2,0,1,听音乐、唱歌、用电脑自带的画图软件画画，看视频
127,128,106秒,1,1,小提琴,0,景,视听类型,1,不敢深入幻想,2,0,0,练字，看电影听英语，戏剧歌剧音乐会
128,129,131秒,1,1,0,1,0,0,1,画家,1,0,0,画画
129,130,108秒,1,0,吉他,0,内心深处的想法,画展音乐会等,1,感知自然而不受生活的胁迫,1,0,1,听古典音乐，欣赏名画
130,131,207秒,1,1,吉他,0,花,舞蹈 唱歌 摄影 乐器,1,自由摄影师 舞者,1,0,0,合唱团 街舞班
131,132,124秒,0,0,0,0,0,0,0,0,1,0,1,无
132,133,106秒,1,1,钢琴，吉他，小提琴,0,象征抽象主义,文学，音乐，舞蹈,1,像吟游诗人一样自由，像音乐家一样浪漫,1,0,1,写诗，听歌等
133,134,128秒,1,1,吉他，钢琴,0,人,画画，音乐,1,自己的家要有艺术氛围，音乐与画，歌与诗行,2,0,0,做手帐，听音乐，绘画
134,135,115秒,1,1,吉他,0,星空,绘画    音乐,1,钢琴家,2,0,1,"弹吉他
临摹
练字"
135,136,72秒,1,1,吉他,0,0,音乐,1,0,2,0,1,听音乐
136,137,173秒,1,1,吉他或者钢琴,1,想记录一些我的日常,0,1,想过如果会画画好想画下每一个人,1,0,0,会自学吉他
137,138,289秒,0,1,快板,1,0,曲艺（包括但不限于相声、京韵大鼓、梅花大鼓、单弦、岔曲、河南坠子、天津时调、联珠快书）、戏曲（主要是京剧）,0,0,1,0,1,"相声听曲艺并且在能力范围内学唱学说；
渴望有机会去天津或北京的相声剧场听现场。"
138,139,182秒,1,1,二胡,1,学校街道的钢笔速写,浸入式,1,那必然是工作时间自己决定,2,0,0,绘画，欣赏绘画
139,140,221秒,1,1,钢琴,0,二次元,音乐 魔术 绘画,1,音乐家,2,0,1,作曲 弹琴 钻研纸牌魔术 画画
140,141,87秒,1,1,吉他,0,什么都想画,绘画，音乐,1,作家或画家,5,0,0,偶尔练习吉他
141,142,129秒,1,1,手风琴,0,美少女,音乐剧快闪,1,不用996还可以做喜欢的事,1,0,0,看音乐剧，偶尔练练很久没碰的乐器
